ds,y
2020-03-09,2
2020-03-10,0
2020-03-11,1
2020-03-12,2
2020-03-13,0
2020-03-14,3
2020-03-15,4
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,8
2020-03-20,11
2020-03-21,16
2020-03-22,8
2020-03-23,31
2020-03-24,28
2020-03-25,35
2020-03-26,49
2020-03-27,55
2020-03-28,72
2020-03-29,64
2020-03-30,66
2020-03-31,128
2020-04-01,149
2020-04-02,140
2020-04-03,145
2020-04-04,141
2020-04-05,184
2020-04-06,92
2020-04-07,173
2020-04-08,254
2020-04-09,246
2020-04-10,266
2020-04-11,171
2020-04-12,129
2020-04-13,126
2020-04-14,170
2020-04-15,285
2020-04-16,315
2020-04-17,299
2020-04-18,242
2020-04-19,184
2020-04-20,110
2020-04-21,194
2020-04-22,281
2020-04-23,215
2020-04-24,227
2020-04-25,179
2020-04-26,140
2020-04-27,110
2020-04-28,163
2020-04-29,202
2020-04-30,173
2020-05-01,193
2020-05-02,94
2020-05-03,74
2020-05-04,43
2020-05-05,139
2020-05-06,165
2020-05-07,123
2020-05-08,147
2020-05-09,103
2020-05-10,26
2020-05-11,22
2020-05-12,116
2020-05-13,101
2020-05-14,89
2020-05-15,101
2020-05-16,57
2020-05-17,33
2020-05-18,21
2020-05-19,72
2020-05-20,83
2020-05-21,57
2020-05-22,27
2020-05-23,42
2020-05-24,31
2020-05-25,10
2020-05-26,45
2020-05-27,47
2020-05-28,62
2020-05-29,39
2020-05-30,39
2020-05-31,11
2020-06-01,11
2020-06-02,11
2020-06-03,29
2020-06-04,30
2020-06-05,32
2020-06-06,33
2020-06-07,22
2020-06-08,6
2020-06-09,37
2020-06-10,18
2020-06-11,26
2020-06-12,8
2020-06-13,18
2020-06-14,6
2020-06-15,4
2020-06-16,9
2020-06-17,30
2020-06-18,26
2020-06-19,16
2020-06-20,11
2020-06-22,3
2020-06-23,10
2020-06-24,19
2020-06-25,13
2020-06-26,21
2020-06-27,6
2020-06-28,3
2020-06-29,4
2020-06-30,12
2020-07-01,12
2020-07-02,9
2020-07-03,9
2020-07-04,7
2020-07-05,2
2020-07-06,4
2020-07-07,8
2020-07-08,12
2020-07-09,12
2020-07-10,6
2020-07-11,6
2020-07-12,3
2020-07-13,1
2020-07-14,4
2020-07-15,3
2020-07-16,7
2020-07-17,4
2020-07-18,1
2020-07-19,1
2020-07-20,2
2020-07-21,4
2020-07-22,5
2020-07-23,6
2020-07-24,10
2020-07-25,7
2020-07-26,0
2020-07-27,0
2020-07-28,4
2020-07-29,6
2020-07-30,6
2020-07-31,7
2020-08-01,7
2020-08-03,7
2020-08-04,8
2020-08-05,12
2020-08-06,7
2020-08-07,8
2020-08-08,12
2020-08-09,1
2020-08-10,1
2020-08-11,4
2020-08-12,6
2020-08-13,4
2020-08-14,14
2020-08-15,6
2020-08-16,0
2020-08-17,1
2020-08-18,4
2020-08-19,7
2020-08-20,10
2020-08-21,7
2020-08-22,7
2020-08-23,2
2020-08-24,3
2020-08-25,5
2020-08-26,3
2020-08-27,5
2020-08-28,3
2020-08-29,1
2020-08-30,6
2020-08-31,3
2020-09-01,4
2020-09-02,11
2020-09-03,8
2020-09-04,1
2020-09-05,2
2020-09-06,1
2020-09-07,0
2020-09-08,4
2020-09-09,9
2020-09-10,3
2020-09-11,1
2020-09-12,5
2020-09-13,2
2020-09-14,1
2020-09-15,12
2020-09-16,6
2020-09-17,3
2020-09-18,7
2020-09-19,6
2020-09-20,2
2020-09-21,0
2020-09-22,10
2020-09-23,13
2020-09-24,19
2020-09-25,15
2020-09-26,9
2020-09-27,5
2020-09-28,3
2020-09-29,11
2020-09-30,17
2020-10-01,12
2020-10-02,8
2020-10-03,19
2020-10-04,2
2020-10-05,5
2020-10-06,12
2020-10-07,16
2020-10-08,16
2020-10-09,11
2020-10-10,15
2020-10-11,11
2020-10-12,6
2020-10-13,13
2020-10-14,43
2020-10-15,33
2020-10-16,24
2020-10-17,33
2020-10-18,10
2020-10-19,12
2020-10-20,47
2020-10-21,39
2020-10-22,30
2020-10-23,49
2020-10-24,49
2020-10-25,29
2020-10-26,24
2020-10-27,42
2020-10-28,85
