ds,y
2020-03-17,1
2020-03-18,0
2020-03-19,2
2020-03-20,1
2020-03-21,5
2020-03-22,21
2020-03-23,7
2020-03-24,7
2020-03-25,15
2020-03-26,16
2020-03-27,17
2020-03-28,16
2020-03-29,23
2020-03-30,37
2020-03-31,46
2020-04-01,63
2020-04-02,79
2020-04-03,69
2020-04-04,76
2020-04-05,73
2020-04-06,75
2020-04-07,76
2020-04-08,87
2020-04-09,96
2020-04-10,98
2020-04-11,95
2020-04-12,97
2020-04-13,98
2020-04-14,107
2020-04-15,115
2020-04-16,125
2020-04-17,126
2020-04-18,121
2020-04-19,127
2020-04-20,123
2020-04-21,119
2020-04-22,117
2020-04-23,115
2020-04-24,109
2020-04-25,106
2020-04-26,99
2020-04-27,95
2020-04-28,92
2020-04-29,89
2020-04-30,93
2020-05-01,84
2020-05-02,78
2020-05-03,61
2020-05-04,64
2020-05-05,59
2020-05-06,64
2020-05-07,57
2020-05-08,48
2020-05-09,50
2020-05-10,47
2020-05-11,55
2020-05-12,53
2020-05-13,58
2020-05-14,55
2020-05-15,48
2020-05-16,41
2020-05-17,44
2020-05-18,31
2020-05-19,28
2020-05-20,23
2020-05-21,27
2020-05-22,27
2020-05-23,32
2020-05-24,32
2020-05-25,29
2020-05-26,28
2020-05-27,34
2020-05-28,30
2020-05-29,28
2020-05-30,26
2020-05-31,25
2020-06-01,23
2020-06-02,22
2020-06-03,24
2020-06-04,21
2020-06-05,18
2020-06-06,21
2020-06-07,23
2020-06-08,19
2020-06-09,18
2020-06-10,17
2020-06-11,17
2020-06-12,15
2020-06-13,14
2020-06-14,15
2020-06-15,18
2020-06-16,17
2020-06-17,19
2020-06-18,21
2020-06-19,23
2020-06-20,22
2020-06-21,23
2020-06-22,24
2020-06-23,27
2020-06-24,24
2020-06-25,21
2020-06-26,19
2020-06-27,17
2020-06-28,15
2020-06-29,18
2020-06-30,16
2020-07-01,19
2020-07-02,17
2020-07-03,19
2020-07-04,20
2020-07-05,19
2020-07-06,16
2020-07-07,19
2020-07-08,22
2020-07-09,18
